"Tipo de información","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices",
"Fecha"," 821890 "," 821891 "," 821894 "," 821895 "," 821896 "," 821897 "," 821898 "," 821899 "," 821900 "," 821901 "," 821902 "," 821903 "," 821904 "," 821905 "," 821906 "," 821907 ",
"2Q Feb 1989","6.44474021672276","7.05274562236684","7.4668784353122","5.20556730923244","9.96521619439365","6.24689453750252","6.55365067414543","3.28111679694652","6.57109873281696","4.83201359549202","6.46628881008213","4.79163003728841","7.58838795401168","3.41536213370361","3.16872471328964","3.86056999780894",
"1Q Mar 1989","6.48704510455707","7.11523543019541","7.49405318232525","5.22240378279306","10.0047325612056","6.35677811136392","6.72709449939503","3.30449566189458","6.65786471465316","4.82735001622272","6.45311101977311","4.73048004026183","7.60938494418879","3.41841941271269","3.16960777381418","3.86790802391699",
"2Q Mar 1989","6.52284011349465","7.14795390440161","7.51874560535965","5.2475738384462","10.0254271580506","6.39967301157593","6.78428975195889","3.30468524073037","6.69883904923313","4.86868117336758","6.52531303286979","4.84496123718591","7.65084755964805","3.43216160013285","3.16960777381418","3.90878021374929",
"1Q Abr 1989","6.58967542275152","7.20588968338225","7.56678557938938","5.28369036788888","10.085495275008","6.46959076155332","6.91919664012015","3.31141933656164","6.7410898859637","4.95294778684781","6.70117805451328","5.171659195127","7.7178849387216","3.43393081507728","3.15242950534038","3.94818189424102",
"2Q Abr 1989","6.6147751865985","7.23061039183311","7.58611371462417","5.30036774163584","10.1063550573017","6.50106090961797","6.97952101694102","3.32474674897891","6.75904462511622","4.97794784379059","6.74883921299884","5.2905534299979","7.71451297243853","3.43859025267792","3.15242950534038","3.96204005323047",
"1Q May 1989","6.66999673928346","7.28117573640989","7.60989428114349","5.31590471026341","10.1396977011543","6.58747033471554","7.16446861788445","3.34794040451448","6.79902555692727","5.04151808243762","6.88935003129187","5.62102278886349","7.71879552767685","3.43274485435047","3.13777117182674","3.97378619803332",
"2Q May 1989","6.71620258112642","7.30567352966955","7.6228158889657","5.32297014672554","10.1599367874982","6.62737475765493","7.21507215657999","3.35179827733826","6.83816533586465","5.13472078858652","7.0844764653059","6.03321366006001","7.7579009213792","3.43414140211398","3.13777117182674","3.97793982827853",
"1Q Jun 1989","6.76335542747611","7.35178712516794","7.64032950043403","5.33322601101898","10.1863211218326","6.71201465039438","7.38534031832413","3.37837891711142","6.88304592669183","5.1824046590367","7.18286892905129","6.13304736931145","7.85426344863682","3.43617213398857","3.13777117182674","3.98397965702973",
"2Q Jun 1989","6.785414208583","7.37109164341884","7.64712449870172","5.35385053111982","10.1709071750256","6.74819821519456","7.42735145198585","3.39176114607132","6.91950471132231","5.20980740057267","7.23884794935506","6.19437364855709","7.90587511865157","3.43785635705663","3.13777117182674","3.98898889485052",
"1Q Jul 1989","6.82902511302512","7.41735164780168","7.64520984790584","5.36400083638586","10.1506532994845","6.86036210885016","7.62655059404197","3.38853597438777","6.99884664447584","5.24578952901584","7.3100830023953","6.29724504170273","7.95393256843045","3.4421471484918","3.13777117182674","4.00175062169193",
