"Tipo de información","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices",
"Fecha"," 865541 "," 865542 "," 865548 "," 865549 "," 865550 "," 865551 "," 865552 "," 865553 "," 865554 "," 865555 "," 865556 "," 865557 "," 865558 "," 865559 "," 865560 "," 865561 ",
"Ene 2004","55.7743173494501","59.6330969732103","55.4120684744434","45.9645087925109","64.0885175611575","63.4957353715566","67.8373896310318","49.7576487320171","64.2179483084899","45.0770649594588","45.0978921500309","47.5005964911981","43.5200025856252","45.0427222083215","42.2211534951946","50.9199498631838",
"Feb 2004","56.1079447574531","59.9018489267187","55.6921138584329","46.3473041695048","64.2676504226066","63.7522947349581","68.1494772725069","49.9628555195814","64.4414852915056","45.5798873712609","45.5190710647716","47.0624977667269","44.4694851618324","45.5960054180472","42.5771544801841","51.866615939405",
"Mar 2004","56.2980709356166","60.1215211652957","55.8710994709539","46.5981189425564","64.3762159223756","64.0107396891143","68.564679625704","50.0306495639848","64.6309197067521","45.6908481426627","45.2248714211942","44.9325184931127","45.3065621113645","45.9585130794742","42.9161546805001","52.2780025627008",
"Abr 2004","56.3830319525618","60.3195487296494","55.9985709743895","46.7966056909034","64.434432414325","64.2767978447973","68.917458664993","50.1347462548135","64.8796739268479","45.4744435809905","44.365126550979","43.2379490356127","44.9628466056417","46.1417176360874","42.8398888729405","52.9749131614612",
"May 2004","56.2416029426468","60.4587426336817","56.153229987791","47.0123688367906","64.5291681611772","64.4002880498162","69.1585592562976","50.2054682272624","64.9163933800521","44.59259864411","43.9645942343046","42.8395585676294","44.561866324952","44.9614023588697","41.0095513304186","53.0704473023973",
"Jun 2004","56.3317445094056","60.619554364922","56.3212542982092","47.2341044229542","64.6442812007433","64.5533599222273","69.3180306237571","50.2748331597605","65.0949998800778","44.4950695406348","43.1842369654891","40.781270444341","44.5702700761789","45.2879473923826","41.4938248659175","53.0876776417613",
"Jul 2004","56.4793901790965","60.725137445639","56.4108094253594","47.4097868712571","64.6503263861223","64.6741343718971","69.4696680252507","50.4060345025092","65.1822025703289","44.7533965936587","43.4623262933472","41.2112023727435","44.7542363411069","45.5338796269478","41.7924763956562","53.2311489559217",
"Ago 2004","56.8280411815599","60.8938962882527","56.5841452943818","47.6199041673006","64.7869963266533","64.8376921860802","69.5899820165875","50.9623323259973","65.2264515886247","45.5736640711999","45.1451126560375","43.7967081069192","45.8773875253398","45.8181439970152","42.185400453845","53.3027263061146",
"Sep 2004","57.2979170496642","61.2424531614599","56.7808342042539","47.877852253725","64.9233009990953","65.3330181065821","69.770344919502","53.3453720989439","65.2487701799061","46.3607556357335","46.7572540498217","47.605582393127","46.1330785526685","46.0925160292413","42.5703036059166","53.3606482724841",
"Oct 2004","57.6947471653946","61.4183467195315","57.0207326202323","48.2150669112079","65.0678114551925","65.4456554213147","69.8750000008708","53.3458627345142","65.4117604557607","47.3383572672368","48.4644681899792","51.8435053815224","46.2779433821366","46.6165730338634","43.3092249558908","53.4638794345259",
"Nov 2004","58.1868993976974","61.5642122249706","57.1730654583456","48.4206162144314","65.1678253983734","65.5845735522525","70.004448832066","53.3482759354568","65.6117219981327","48.7439639659198","49.3033911901668","53.5201352940884","46.5991071137568","48.3734156851201","45.9159096203553","53.5541153846584",
"Dic 2004","58.3070881533761","61.7359290016225","57.3207755460131","48.7423030361072","65.1470920963187","65.7789850929322","70.1113343208416","53.3541455405265","65.9576125941549","48.7265271041468","48.8592037007944","51.0604001805053","47.3972395994782","48.6209939475656","46.2154919603275","53.7006564446359",
"Ene 2005","58.3091603733014","61.9672096275355","57.5126360383218","48.9954610049472","65.2785673360033","66.0477514950186","70.2986057316707","53.6438438857848","66.2881271393281","48.1207960790682","46.6708333737214","44.7716564102996","47.7390044618845","48.9983499860532","46.4649212569157","54.3332253861558",
"Feb 2005","58.5034309913156","62.2078044720434","57.7394910121947","49.2128982505747","65.5127980777119","66.3007179633222","70.5621709466816","53.7558587399362","66.5843126023384","48.1911466053665","46.9109809598635","44.903224480491","48.0455026574952","48.9632252465251","46.2741819929068","54.6052100771498",
"Mar 2005","58.7671209768338","62.3851861438595","57.8926052356295","49.3496639436381","65.6805018827541","66.5010244247373","70.6625082159368","53.8077479875509","66.9312927680701","48.6809266762431","47.816377282289","47.022987805741","48.2010142782892","49.1946801613991","46.5185519493329","54.812721702433",
"Abr 2005","58.9764151893082","62.5037856735687","58.0160729277161","49.4488024330209","65.8264556878569","66.6143562650778","70.7852529308328","53.8503538597289","67.0627912007387","49.1290980386815","49.3908621183707","51.6590372948773","47.8864901837224","48.9432119732098","46.002013714501","55.0830809100452",
"May 2005","58.8282514646358","62.6247920798179","58.1573489645078","49.5959761342721","65.9610106170076","66.7150468246705","70.8681826653956","53.8966317651851","67.1998511733816","48.2689766746159","50.2229678150182","54.1779639055213","47.6778913674425","47.0326471167865","43.0764738237152","55.1642300171243",
"Jun 2005","58.771783471666","62.7768110034577","58.2952823660766","49.7460762527013","66.086217535508","66.8801591161886","70.9759529814821","54.0125740022494","67.4341392266595","47.6621395279639","48.3465569162073","49.1286967114957","47.7596894143346","47.214487720646","43.2971586917136","55.2705803702682",
"Jul 2005","59.0017998833952","62.9059475957038","58.3156344771787","49.7827973384374","66.0906734010106","67.1149506999954","71.1232438182347","54.0589187007336","67.819825517426","48.1573755491135","49.3445678552361","51.3209955448385","48.0199807148343","47.3972715424489","43.5816250621006","55.2537713973818",
"Ago 2005","59.0722553608615","62.9927804276113","58.3801985595925","49.8517424286224","66.1505443903965","67.223149643022","71.2310927368121","54.591442490536","67.7581527683917","48.1824361944936","49.1010954450164","50.1683147483506","48.3370094187557","47.5890759801694","43.8393654123884","55.3166455065771",
